actor_id,actor_name
414,Dean Cain
415,Christophe Lambert
416,Edgar Buchanan
417,Guy Stockwell
418,Robert Fuller
419,CHUCK CONNORS
420,Lee Van Cleef
421,John Phillip Law
422,Slim Pickens
423,Leif Garrett
424,Randy Quaid
425,Kim Delaney
426,Benson
427,PETER
428,Cross
429,Kendall
430,Cubitt
431,Cuoco
432,Kaley
433,DELANEY
434,Kim
435,Beau Bridges
436,David Cubitt
437,Frank Langella
438,Oliver Hudson
439,Jackie Schroff
440,Madhur
441,Javed Jaffery
442,Moon Moon Sen
443,lakshmikant berde
444,Jim Shipley
445,Tony Lee Beson
446,Chance Harlem Jr.
447,Emmanuelle Chriqui
448,Jonathan Tucker I
449,Jonathan Tucker
450,James DeBello
451,Glenn Plummer
452,Dwayne Adway
453,Bryan Swerling
454,Tracey Cherell Jones
455,Nesa Sims
456,Deanna Durbin
457,Adolph Menjou
458,Alice Brady
459,Leopold Stokowski
460,Eugene Pallette
461,Jake Webber
462,Maria Bello
463,David Horton
464,Michael McKean
465,Nick Chinlund
466,Michael Gross
467,Christopher Atkins
468,Greg Evigan
469,Jim Brown
470,Raquel Welch
471,Burt Reynold
472,Fernando Lamas
473,DAN OHERLIHY
474,Cuba Scenery
475,Chan
476,Anthony
477,Chow
478,Yun Fat
479,Mui
480,Anita
481,Shing
482,Fui-On
483,Wong
484,Jing
485,Chad Donella
486,Erinn Bartlett
487,Jennifer Morrison
488,Daywind Artists
489,CHRISTOPHER LEE
490,ROGER CORMAN
491,Hugh M. Hefner
492,Fred Olen Ray
493,Richard Benning
494,Sara Karloff
495,DICK MILLER
496,Brinke Stevens
497,Vintage Autos on Parade
498,N.A.
499,Martin Gore
500,David Gahan
501,Andrew Fletcher
502,Alan Wilder (II)
503,Oliver Chesler
504,One-Hundred One Classic Goals
505,Close
506,GLENN
507,Rob Taylor
508,Betty Lou Gerson
509,J. Pat O'Malley
510,Marta Wentworth
511,Ben Wright
512,Glenn Close
513,Jeff Daniels
514,Joely Richardson
515,Barry Bostwick
516,Jane Alexander
517,Martin SHort
518,Bobby Lockwood
519,Susan Blakeslee
520,Shannon Ratigan
521,David Coleman
522,Barry Davies
523,Tony Gubba
524,John Motson
525,Alan Parry
526,Hilmir Sn r Gudnason
527,Olafur Darri Olafsson
528,Baltasar Korm kur
529,Hanna Mar a Karlsd ttir
530,Victoria Abril
531,Samra Iara
532,Diego Sanchez
533,Keith Jardine
534,George St. Pierre
535,Judy Neff
536,Frank Mir
537,B.J. Penn
538,Erica Montoya
539,Eddie Bravo
540,Ryron Gracie
541,Wendy Hoopes
542,Jayce Bartok
543,P.J. Brown
544,Todd Carroll
545,Tracy Christian
546,Doug MacLeod
547,Gerad Depardieu
548,Ioan Gruffud
549,Alice Evans
550,Tim McInnerney
551,Jason Burghorn
552,Jessica Howell
553,Michael Quednau
554,Jaeson Ma
555,Melina Mercouri
556,Romy Schneider
557,Peter Finch
558,Julin Mateos
559,Isabel Mara Prez
560,10cc
561,Godley & Creme
562,Tyler Perry
563,Tenth Mountain Division-Ridge
564,Playing With Fire
565,Mastrianni
566,Andress
567,Gustavo Cerati
568,Daisuke Ono
569,Charles Grodin
570,Candace Bergen
571,James Mason
572,Trevor Howard
573,John Gielgud
574,Jars of Clay
575,Ian Michaels;Christina Mauro;Evan Lee Dahl
576,Timothy Gibbs
577,Michael Andrews
578,Denis Rafter
579,Martin Connolly
580,Matz Ginman-Trout
581,Caio Terra
582,Samir Chantre
583,Matheus Andre
584,VARIOUS ARTISTS
585,Doug Bennett
586,Mataji Booker
587,Henri Thomas
588,Colin Hanks
589,Ben Foster
590,Patrick Swayze
591,Rachael Leigh Cook
592,BARBARA HERSHEY
593,Lanny Rethaber
594,Patrick Adam
595,Steve Furedy
596,Sergei Makovetsky
597,Nikita Mikhalkov
598,Sergei Garmash
599,Valentin Gaft
600,Aleksei Petrenko
601,Conor Donovan
602,JESSE CAMACHO
603,Zoe Weizenbaum
604,Anabella Sciorra
605,Jeremy Renner
606,Jack Lemmon
607,George C Scott
608,Hume Cronyn
609,Essie Davis
610,Cortney B. Vance
611,Henry Fonda
612,Lee J cobb
613,Ed Begley
614,E. G. Marshall
615,Sean Graham
616,Scott Waugh
617,Kids
618,The East Side
619,Bruce
620,Virginia
621,Champlin
622,Charli
623,MOORE
624,Colleen
625,Sr
626,Douglas Fairbanks
627,Andy Griffith
628,Jack Benny
629,George Burns & Gracie Allen
630,Dick Van Dyke
631,Joan Davies
632,Mercyful Fate
633,Cannibal Corpse
634,Armored Saint
635,Fates Warning
636,Steve Weber
637,Robert Hayes
638,Dick Van Patten
639,Shelley Long
640,Jamie Bartlett
641,John Rhys-Davies
642,Jenna Harrison
643,Mark Dexter
644,Colin Egglesfield
645,Sean Patrick Flanery
646,D. B. Sweeney
647,Danielle Chuchran
648,Twelve Girls Band
649,Layla
650,Chenoweth
651,Kristi
652,Hopkin
653,JOSH
654,Huszar
655,STEPHENS
656,Kristin Chenoweth
657,John Hopkins
658,Anna Chlumsky
659,Kristen Eykel
660,Brad Pitt
661,Madeleine Stowe
662,Bruce Willis
663,Matt Maiellard
664,Adam Reed
665,Kurt Soccolich
666,Nick Weidenfeld
667,Matt Harrigan
668,John Cena
669,Aidan Gillen
670,Ashley Scott
671,Steve Harris
672,Brian White
673,Larson
674,Mark
675,Victoria Boutenko
676,Iron Maiden
677,Edd Byrnes
678,Gail Fisher
679,Ed Williams
680,Lynda Aldon
681,William Zipp
682,Dave Rubin
683,Patrick Bergin
684,LORENZO LAMAS
685,LYSETTE ANTHONY
686,Tiffany Williams
687,Christina Lange
688,Josh Rodine
689,Charles Adler
690,Gaille Heideman
691,Kenneth Mars
692,Kris Wilder and Lawrence A. Kane
693,Leticia Amezcua
694,Gerardo Zardain
695,Odn Dupeyrn
696,Rocio Lara
697,Hctor Mrquez
698,Tim Henry
699,Jackie Burroughs
700,James Franco
701,Lizzy Caplan
702,Amber Tamblyn
703,Kate Mara
704,Helen Slater
705,Jonathan Silverman
706,Nicolas Surovy
707,Robin Bartlett
708,Jeremy Piven
709,Mircea Andreescu
710,Teodor Corban
711,Ion Sapdaru
712,Mirela Cioaba
713,Luminita Gheorghiu
714,Jason Statham
715,MICKEY ROURKE
716,50 Cent (Curtis Jackson)
717,Ray Winston
718,Sam Riley
719,"Curtis ""50 Cent"" Jackson"
720,Alexander SkarsgÃÂÃÂ¥rd
721,Ben Gazarra
722,Kji Yakusho
723,Takashi Miike
724,R Madhavan
725,Neetu Chandra
726,Poonam Dhillon
727,Murali Sharma
728,Sachin Khedekar
729,Matthew Mc Conaughey
730,David Connolly (II)
731,Joseph Siravo
732,A.D. Miles
733,Sig Libowitz
734,David Connelly
735,Botto
736,Juan Diego
737,Chao
738,Ernest
739,Etura
740,Marita
741,Infante
742,Diogo
743,MaÃÂÃÂ±ÃÂÃÂ¡
744,Laura
745,Riana Fisher
746,Tim Huston
747,and Jennifer Cione
748,Riana Fisher Tim Huston and Jennifer Cione
749,Felony
750,Gabai
751,Prichard
752,Giovanni
753,Aria
754,Richardson
755,Jay
756,Specht
757,Nichole
758,(None)
759,Rebecca Gibney
760,John Adam
761,Doris Younane
762,Nicholas Hammond
763,Mark Gerber
764,Charles Herbert
765,Jo Morrow
766,Martin Milner
767,Rosemary De Camp
768,DONALD WOODS
769,Jennifer Garner
770,Mark Ruffalo
771,Judy Greer
772,Andy Serkis
773,Jennifer Lopez
774,Ralph Fiennes
775,Carson Lee
776,Chars Bonin
777,Danny Salmen
